Actor,count
Cicely Tyson,7
Eddie Redmayne,7
Teri Polo,7
Danny Huston,7
Chris Penn,7
Michael Jai White,7
Bridget Fonda,7
Kathleen Turner,7
Joe Mantegna,7
Billy Crudup,7
Regina Hall,7
Paul Guilfoyle,7
Jim Sturgess,7
Kevin Zegers,7
Shirley Henderson,7
Stephen Rea,7
John Witherspoon,7
Julie Walters,7
Mary Lynn Rajskub,7
David Carradine,7
Ty Burrell,7
Shannon Elizabeth,7
Lena Olin,7
Jordana Brewster,7
Judge Reinhold,7
Tom Berenger,7
Leonard Nimoy,7
Stephen Graham,7
Eddie Griffin,7
Kelly Macdonald,7
Charles S. Dutton,7
Dorian Missick,7
Jon Heder,7
Alison Lohman,7
Sophie Okonedo,7
Julian Richings,7
Colm Feore,7
Mark Addy,7
Bill Duke,7
Amber Valletta,7
Julian Sands,7
Bruce Spence,6
Tony Cox,6
James Ransone,6
Martin Short,6
Nichelle Nichols,6
Zoë Kravitz,6
Alex Rocco,6
Ronny Cox,6
Fred Ward,6
Carol Kane,6
Debra Messing,6
Jeffrey DeMunn,6
Madeline Carroll,6
Vincent Pastore,6
Liam Aiken,6
Goran Visnjic,6
Lea Thompson,6
Blair Underwood,6
Julia Ormond,6
Hayley Atwell,6
Sarah Silverman,6
Clint Howard,6
Wes Studi,6
Danny Woodburn,6
Shawn Hatosy,6
Jose Pablo Cantillo,6
Chris Mulkey,6
Martin Kove,6
Andrew Garfield,6
Barry Corbin,6
Eddie Cibrian,6
Miko Hughes,6
Rainn Wilson,6
Miriam Margolyes,6
Albert Finney,6
Ellen Barkin,6
Kenan Thompson,6
Sally Hawkins,6
Kurt Fuller,6
Ned Beatty,6
Jimmy Bennett,6
Peter Coyote,6
Richard Roxburgh,6
Victor Wong,6
CCH Pounder,6
Glenn Morshower,6
Kevin Nealon,6
Jane Krakowski,6
Macaulay Culkin,6
Charlie Hunnam,6
Randy Quaid,6
Celia Weston,6
Sela Ward,6
Daniel Roebuck,6
Roddy McDowall,6
Nate Parker,6
Thomas F. Wilson,6
Tyler Labine,6
Steve Guttenberg,6
Dash Mihok,6
Snoop Dogg,6
John Gielgud,6
Molly Shannon,6
Maura Tierney,6
Adam Baldwin,6
Tracy Morgan,6
Andre Braugher,6
James Nesbitt,6
Madeline Kahn,6
Frankie Muniz,6
Tom Arnold,6
Mike Vogel,6
